Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Upload file Method - Robot Class,,,,18-09-2024 19:48:37,18-09-2024 19:48:51,13.668s,PASSED
,,,,,,,
Test Cases/TC File Upload - Kool Session/File_Upload by Robot class- Diff OS,,,,18-09-2024 19:48:37,18-09-2024 19:48:51,13.284s,PASSED
Start listener action : enableSauceLabs,,,,18-09-2024 19:48:38,18-09-2024 19:48:38,0.031s,PASSED
dirName = getProjectDir(),,,,18-09-2024 19:48:38,18-09-2024 19:48:38,0.004s,PASSED
"println(""Project Directory: "" + dirName)",,,,18-09-2024 19:48:38,18-09-2024 19:48:38,0.010s,PASSED
file = new java.io.File((dirName + /MyTestFile/TestData.xlsx)),,,,18-09-2024 19:48:38,18-09-2024 19:48:38,0.001s,PASSED
stringSelection = new java.awt.datatransfer.StringSelection(file.getAbsolutePath()),,,,18-09-2024 19:48:38,18-09-2024 19:48:38,0.017s,PASSED
clipboard = getDefaultToolkit().getSystemClipboard(),,,,18-09-2024 19:48:38,18-09-2024 19:48:39,1.249s,PASSED
"clipboard.setContents(stringSelection, null)",,,,18-09-2024 19:48:39,18-09-2024 19:48:40,0.473s,PASSED
"println(System.getProperty(""os.name""))",,,,18-09-2024 19:48:40,18-09-2024 19:48:40,0.051s,PASSED
"if (name"").contains(""Mac OS X""))",,,,18-09-2024 19:48:40,18-09-2024 19:48:51,10.720s,PASSED
Start listener action : autoUpdateJobStatus,,,,18-09-2024 19:48:51,18-09-2024 19:48:51,0.004s,PASSED
