Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Upload file method - Robot Class,Chrome 128.0.0.0,,,19-09-2024 19:17:10,19-09-2024 19:17:53,42.958s,PASSED
,,,,,,,
Test Cases/TC File Upload - Kool Session/Upload a file using Robot Class,Chrome 128.0.0.0,,sanity,19-09-2024 19:17:10,19-09-2024 19:17:53,42.875s,PASSED
Start listener action : enableSauceLabs,Chrome 128.0.0.0,,,19-09-2024 19:17:10,19-09-2024 19:17:10,0.009s,PASSED
"openBrowser(""https://www.igniteui.com/file-upload/multiple-upload"")",Chrome 128.0.0.0,,,19-09-2024 19:17:10,19-09-2024 19:17:22,11.525s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,19-09-2024 19:17:22,19-09-2024 19:17:22,0.034s,PASSED
"clickOffset(findTestObject(""OR File Upload/Page_Multiple Uploads Sample/input_Upload multiple_File""), 0, 0)",Chrome 128.0.0.0,,,19-09-2024 19:17:22,19-09-2024 19:17:28,5.624s,PASSED
"callTestCase(findTestCase(""TC File Upload - Kool Session/File Uplaod by Robot Class""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,19-09-2024 19:17:28,19-09-2024 19:17:42,14.259s,PASSED
delay(10),Chrome 128.0.0.0,,,19-09-2024 19:17:42,19-09-2024 19:17:52,10.016s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,19-09-2024 19:17:52,19-09-2024 19:17:52,0.004s,NOT_RUN
Start listener action : autoUpdateJobStatus,Chrome 128.0.0.0,,,19-09-2024 19:17:52,19-09-2024 19:17:52,0.001s,PASSED
Video,Chrome 128.0.0.0,,,19-09-2024 19:17:53,19-09-2024 19:17:53,0.001s,PASSED
